Pfam,Protein (Uniprot ID),Description,Most similar Binding-compound Tanimoto Similarity,Domain-binding similar ligands
PF00001,P28335,5HT2C_HUMAN 5-hydroxytryptamine receptor 2C ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8N146,OR8H3_HUMAN Olfactory receptor 8H3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96LB2,MRGX1_HUMAN Mas-related G-protein coupled receptor member X1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P41143,OPRD_HUMAN Delta-type opioid receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P47901,V1BR_HUMAN Vasopressin V1b receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8N148,OR6V1_HUMAN Olfactory receptor 6V1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9Y5X5,NPFF2_HUMAN Neuropeptide FF receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NHC5,O14AG_HUMAN Olfactory receptor 14A16 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P32239,GASR_HUMAN Gastrin/cholecystokinin type B receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGD4,OR4K1_HUMAN Olfactory receptor 4K1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGJ0,OR5A1_HUMAN Olfactory receptor 5A1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH09,OR8S1_HUMAN Olfactory receptor 8S1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96P66,GP101_HUMAN Probable G-protein coupled receptor 101 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9NZP5,O5AC2_HUMAN Olfactory receptor 5AC2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0DN82,O12D1_HUMAN Olfactory receptor 12D1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGF7,OR5BH_HUMAN Olfactory receptor 5B17 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH76,O56B4_HUMAN Olfactory receptor 56B4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q96CH1,GP146_HUMAN Probable G-protein coupled receptor 146 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C645,OR4E1_HUMAN Olfactory receptor 4E1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P59922,OR2B8_HUMAN Putative olfactory receptor 2B8 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C617,O5AL1_HUMAN Olfactory receptor 5AL1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGM1,OR4CF_HUMAN Olfactory receptor 4C15 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGM8,OR6M1_HUMAN Olfactory receptor 6M1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9H228,S1PR5_HUMAN Sphingosine 1-phosphate receptor 5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P35368,ADA1B_HUMAN Alpha-1B adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGA2,OR7A2_HUMAN Putative olfactory receptor 7A2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGD0,OR4M1_HUMAN Olfactory receptor 4M1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGQ1,OR9G4_HUMAN Olfactory receptor 9G4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGC8,O11H7_HUMAN Olfactory receptor 11H7 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGZ4,OR2G3_HUMAN Olfactory receptor 2G3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P32745,SSR3_HUMAN Somatostatin receptor type 3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P49286,MTR1B_HUMAN Melatonin receptor type 1B ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGF9,OR4X2_HUMAN Olfactory receptor 4X2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH00,OR2T4_HUMAN Olfactory receptor 2T4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P55085,PAR2_HUMAN Proteinase-activated receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH07,O11H2_HUMAN Olfactory receptor 11H2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NHC8,OR2T6_HUMAN Olfactory receptor 2T6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9NPB9,ACKR4_HUMAN Atypical chemokine receptor 4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O00270,"GPR31_HUMAN 12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor ",0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q7Z601,GP142_HUMAN Probable G-protein coupled receptor 142 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGU2,OR9A4_HUMAN Olfactory receptor 9A4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGJ5,O51L1_HUMAN Olfactory receptor 51L1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q99463,NPY6R_HUMAN Putative neuropeptide Y receptor type 6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P21462,FPR1_HUMAN fMet-Leu-Phe receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P37288,V1AR_HUMAN Vasopressin V1a receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15622,OR7A5_HUMAN Olfactory receptor 7A5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9UHM6,OPN4_HUMAN Melanopsin ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O14581,OR7AH_HUMAN Olfactory receptor 7A17 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGQ6,OR9I1_HUMAN Olfactory receptor 9I1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q969N4,TAAR8_HUMAN Trace amine-associated receptor 8 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P35414,APJ_HUMAN Apelin receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P41968,MC3R_HUMAN Melanocortin receptor 3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGK0,O51G2_HUMAN Olfactory receptor 51G2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A6NL26,O5B21_HUMAN Olfactory receptor 5B21 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C7T2,OR2T7_HUMAN Olfactory receptor 2T7 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q5NUL3,FFAR4_HUMAN Free fatty acid receptor 4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGG3,OR5T3_HUMAN Olfactory receptor 5T3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGX3,O10T2_HUMAN Olfactory receptor 10T2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q9UGF7,O12D3_HUMAN Olfactory receptor 12D3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A6NHG9,O5H14_HUMAN Olfactory receptor 5H14 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P32246,CCR1_HUMAN C-C chemokine receptor type 1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P46092,CCR10_HUMAN C-C chemokine receptor type 10 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NG83,OR2M3_HUMAN Olfactory receptor 2M3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8TDS4,HCAR2_HUMAN Hydroxycarboxylic acid receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A0A0G2JNH3,A0A0G2JNH3_HUMAN Olfactory receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,A6NMU1,O52A4_HUMAN Olfactory receptor 52A4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGH5,O56A1_HUMAN Olfactory receptor 56A1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGZ9,O2T10_HUMAN Olfactory receptor 2T10 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q5TZ20,OR2G6_HUMAN Olfactory receptor 2G6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGF8,OR4B1_HUMAN Olfactory receptor 4B1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGT0,O13C9_HUMAN Olfactory receptor 13C9 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH79,OR6X1_HUMAN Olfactory receptor 6X1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q14330,GPR18_HUMAN N-arachidonyl glycine receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH67,O52I2_HUMAN Olfactory receptor 52I2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH74,O10A6_HUMAN Olfactory receptor 10A6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C628,O5AC1_HUMAN Olfactory receptor 5AC1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P21731,TA2R_HUMAN Thromboxane A2 receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P28336,NMBR_HUMAN Neuromedin-B receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NG81,OR2M7_HUMAN Olfactory receptor 2M7 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NHC7,O14CZ_HUMAN Olfactory receptor 14C36 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8WXD0,RXFP2_HUMAN Relaxin receptor 2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O14804,TAAR5_HUMAN Trace amine-associated receptor 5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q7Z602,GP141_HUMAN Probable G-protein coupled receptor 141 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,O15218,GP182_HUMAN G-protein coupled receptor 182 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P13945,ADRB3_HUMAN Beta-3 adrenergic receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P30411,BKRB2_HUMAN B2 bradykinin receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8IXE1,OR4N5_HUMAN Olfactory receptor 4N5 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGI9,OR5A2_HUMAN Olfactory receptor 5A2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGY1,O10Z1_HUMAN Olfactory receptor 10Z1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NH81,O10G6_HUMAN Olfactory receptor 10G6 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P20309,ACM3_HUMAN Muscarinic acetylcholine receptor M3 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGA1,OR1M1_HUMAN Olfactory receptor 1M1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGL7,OR4P4_HUMAN Olfactory receptor 4P4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P47804,RGR_HUMAN RPE-retinal G protein-coupled receptor ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGX9,OR6P1_HUMAN Olfactory receptor 6P1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
